county,district_id,district_name,institution_id,institution_name,institution_type,subgroup_type,subgroup,approaches_total,approaches_n,math_number,math_n,literacy_letter_sound,literacy_letter_sound_n,year
Multnomah,2187,David Douglas SD 40,979,West Powellhurst Elementary School,School,Total Population,Total Population,4.1,60,9,60,3.5,60,2017-2018
Multnomah,2188,Riverdale SD 51J,985,Riverdale Grade School,School,Total Population,Total Population,4.2,30,11.5,30,8.3,30,2017-2018
Multnomah,2180,Portland SD 1J,1278,Markham Elementary School,School,Total Population,Total Population,3.5,77,11.8,74,8.1,74,2017-2018
Multnomah,2180,Portland SD 1J,1299,Rieke Elementary School,School,Total Population,Total Population,4,57,12.7,58,13.3,58,2017-2018
Multnomah,2183,Gresham-Barlow SD 10J,1313,Kelly Creek Elementary School,School,Total Population,Total Population,3.3,80,10.7,80,6.1,80,2017-2018
Multnomah,2180,Portland SD 1J,1364,Winterhaven School,School,Total Population,Total Population,3.3,24,13,24,16,24,2017-2018
Multnomah,2182,Reynolds SD 7,1365,Woodland Elementary School,School,Total Population,Total Population,3.9,59,10.5,58,5.8,59,2017-2018
Multnomah,2180,Portland SD 1J,2413,Forest Park Elementary School,School,Total Population,Total Population,3.6,65,12.7,63,15.7,63,2017-2018
Multnomah,2180,Portland SD 1J,3451,Opal School of the Portland Childrens Museum,School,Total Population,Total Population,4,16,14.1,16,15.1,16,2017-2018
Multnomah,2182,Reynolds SD 7,3490,Multisensory Learning Academy,School,Total Population,Total Population,3.7,48,11.7,48,9.9,48,2017-2018
Multnomah,2187,David Douglas SD 40,3525,Earl Boyles Elementary School,School,Total Population,Total Population,4.2,69,11.3,69,12.2,69,2017-2018
Multnomah,2183,Gresham-Barlow SD 10J,3543,Hogan Cedars Elementary School,School,Total Population,Total Population,3.7,93,10.8,93,6.8,93,2017-2018
Multnomah,2187,David Douglas SD 40,3580,Arthur Academy,School,Total Population,Total Population,4,29,11.7,29,12.3,29,2017-2018
Multnomah,2180,Portland SD 1J,3616,Trillium,School,Total Population,Total Population,4.1,29,13,29,13.9,29,2017-2018
Multnomah,2185,Centennial SD 28J,3649,Butler Creek Elementary School,School,Total Population,Total Population,3.7,73,10,72,4.3,73,2017-2018
Multnomah,2182,Reynolds SD 7,3989,Salish Ponds Elementary School,School,Total Population,Total Population,3.4,78,8.9,77,2.8,77,2017-2018
Multnomah,2180,Portland SD 1J,3991,Emerson School,School,Total Population,Total Population,3.5,24,13.3,25,11.7,25,2017-2018
Multnomah,2182,Reynolds SD 7,4216,Reynolds Arthur Academy,School,Total Population,Total Population,4.1,29,12.2,29,9,29,2017-2018
Multnomah,2180,Portland SD 1J,4400,Portland Arthur Academy Charter School,School,Total Population,Total Population,3.7,28,12.1,27,15.7,27,2017-2018
Multnomah,2180,Portland SD 1J,4534,Portland Village School,School,Total Population,Total Population,3.1,41,12.6,40,9.4,40,2017-2018
Multnomah,2186,Corbett SD 39,4592,Corbett School,School,Total Population,Total Population,3.9,77,12.1,77,9.9,77,2017-2018
Multnomah,2183,Gresham-Barlow SD 10J,4601,Gresham Arthur Academy,School,Total Population,Total Population,4.3,30,10.3,30,9.9,30,2017-2018
Multnomah,2180,Portland SD 1J,4640,Creative Science School,School,Total Population,Total Population,4.3,48,13.2,48,11.6,48,2017-2018
Multnomah,2183,Gresham-Barlow SD 10J,4667,Lewis and Clark Montessori Charter School,School,Total Population,Total Population,3.5,49,12.8,49,12.7,49,2017-2018
Multnomah,2182,Reynolds SD 7,4822,KNOVA Reynolds Public Charter School,School,Total Population,Total Population,3.7,38,10,37,5.4,38,2017-2018
Multnomah,2180,Portland SD 1J,5060,Le Monde French Immersion Public Charter School,School,Total Population,Total Population,4.1,49,12.4,48,13.8,47,2017-2018
Multnomah,2180,Portland SD 1J,5218,Kairos PDX,School,Total Population,Total Population,3.4,47,12.4,45,15.5,45,2017-2018
